Google LLC,google.com,IT,"80,443",,"search engine, cloud"
PG&E Web Portal,pge.com,Utilities,"80,443",,"electricity,gas"
Cisco Web Portal,cisco.com,IT,"80,443",,"network,it,hardware,router,switch,server"
Chatgpt Web Portal,chatgpt.com,IT,"80,443",,"ai,chat,search"
"Okta, Inc. Web Portal",okta.com,IT,"80,443",,"network,it,security,software,cloud"
Amazon Web Services,aws.amazon.com,IT,"80,443",,"cloud, computing, infrastructure,network"
"Amazon.com, Inc.",amazon.com,shopping,"80,443",,"shopping, online"
3M Company,3m.com,Industrial Conglomerates,"80,443",,"industry, worker safety, healthcare,consumer goods"
A. O. Smith Corporation,www.aosmith.com,Building Products,"80,443",,"water heaters,water boilers "
Abbott Laboratories,abbott.com,Health Care,"80,443",,"medical devices,health care"
AbbVie Inc.,abbvie.com,Health Care,"80,443",,"pharmaceutical,autoimmune diseases"
Accenture plc,www.accenture.com,IT,"80,443",,"professional services,business consulting,technology consulting"
Adobe Inc,adobe.com,IT,"80,443",,"web design,photo tools,video tools,audio tools,app dev"
Advanced Micro Devices,amd.com,IT,"80,443",,"processors,chipsets,servers,workstation,pc"
The AES Corporation,aes.com,Utilities,"80,443",,electricity
Aflac Incorporated,aflac.com,Financials,"80,443",,"insurance,supplemental insurance"
"Agilent Technologies, Inc.",agilent.com,Health Care,"80,443",,"instruments,software,services,consumables"
